#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Listeria monocytogenes","BCW_4276",20017,SAMN03358004 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001826975.1 ,3.02391,37.8,-,MJPR01,20,3072,2990,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/826/975/GCF_001826975.1_ASM182697v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/826/975/GCA_001826975.1_ASM182697v1
"Listeria monocytogenes","BCW_4277",20017,SAMN03358005 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001826985.1 ,2.9329,38.1,-,MJPS01,10,2994,2901,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/826/985/GCF_001826985.1_ASM182698v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/826/985/GCA_001826985.1_ASM182698v1
"Listeria monocytogenes","BCW_4278",20017,SAMN03358006 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827015.1 ,2.96932,37.8,-,MJPT01,22,3036,2955,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/015/GCF_001827015.1_ASM182701v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/015/GCA_001827015.1_ASM182701v1
"Listeria monocytogenes","BCW_4279",20017,SAMN03358007 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827025.1 ,2.9596,37.8,-,MJPU01,16,2985,2902,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/025/GCF_001827025.1_ASM182702v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/025/GCA_001827025.1_ASM182702v1
"Listeria monocytogenes","BCW_4280",20017,SAMN03358008 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827055.1 ,2.95656,37.9,-,MJPV01,18,3009,2944,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/055/GCF_001827055.1_ASM182705v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/055/GCA_001827055.1_ASM182705v1
"Listeria monocytogenes","BCW_4281",20017,SAMN03358009 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827065.1 ,2.99932,37.8,-,MJPW01,24,3032,2956,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/065/GCF_001827065.1_ASM182706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/065/GCA_001827065.1_ASM182706v1
"Listeria monocytogenes","BCW_4283",20017,SAMN03358011 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827095.1 ,2.95899,37.9,-,MJPY01,34,2990,2912,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/095/GCF_001827095.1_ASM182709v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/095/GCA_001827095.1_ASM182709v1
"Listeria monocytogenes","BCW_4284",20017,SAMN03358012 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827135.1 ,3.1269,37.9,-,MJPZ01,36,3207,3117,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/135/GCF_001827135.1_ASM182713v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/135/GCA_001827135.1_ASM182713v1
"Listeria monocytogenes","BCW_4285",20017,SAMN03358013 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827145.1 ,2.93356,37.9,-,MJQA01,19,2956,2871,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/145/GCF_001827145.1_ASM182714v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/145/GCA_001827145.1_ASM182714v1
"Listeria monocytogenes","BCW_4287",20017,SAMN03358015 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827175.1 ,3.00428,37.8,-,MJQB01,18,3069,2983,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/175/GCF_001827175.1_ASM182717v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/175/GCA_001827175.1_ASM182717v1
"Listeria monocytogenes","BCW_4288",20017,SAMN03358016 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827195.1 ,3.08735,37.8,-,MJQC01,29,3157,3074,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/195/GCF_001827195.1_ASM182719v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/195/GCA_001827195.1_ASM182719v1
"Listeria monocytogenes","BCW_4289",20017,SAMN03358017 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827215.1 ,2.94703,37.9,-,MJQD01,15,2984,2920,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/215/GCF_001827215.1_ASM182721v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/215/GCA_001827215.1_ASM182721v1
"Listeria monocytogenes","BCW_4290",20017,SAMN03358018 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827225.1 ,3.00119,37.8,-,MJQE01,12,3060,2975,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/225/GCF_001827225.1_ASM182722v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/225/GCA_001827225.1_ASM182722v1
"Listeria monocytogenes","BCW_4291",20017,SAMN03358019 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827255.1 ,3.08456,37.8,-,MJQF01,20,3142,3046,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/255/GCF_001827255.1_ASM182725v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/255/GCA_001827255.1_ASM182725v1
"Listeria monocytogenes","BCW_4292",20017,SAMN03358020 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827275.1 ,3.01526,37.9,-,MJQG01,28,3077,3006,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/275/GCF_001827275.1_ASM182727v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/275/GCA_001827275.1_ASM182727v1
"Listeria monocytogenes","BCW_4294",20017,SAMN03358022 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827295.1 ,3.00873,37.9,-,MJQI01,39,3074,2976,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/295/GCF_001827295.1_ASM182729v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/295/GCA_001827295.1_ASM182729v1
"Listeria monocytogenes","BCW_4293",20017,SAMN03358021 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827305.1 ,3.01116,37.8,-,MJQH01,26,3043,2972,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/305/GCF_001827305.1_ASM182730v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/305/GCA_001827305.1_ASM182730v1
"Listeria monocytogenes","BCW_4296",20017,SAMN03358024 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827345.1 ,2.82977,37.9,-,MJQK01,14,2849,2782,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/345/GCF_001827345.1_ASM182734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/345/GCA_001827345.1_ASM182734v1
"Listeria monocytogenes","BCW_4298",20017,SAMN03358026 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827375.1 ,2.98586,37.9,-,MJQM01,16,3010,2937,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/375/GCF_001827375.1_ASM182737v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/375/GCA_001827375.1_ASM182737v1
"Listeria monocytogenes","BCW_4297",20017,SAMN03358025 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827385.1 ,3.07859,37.8,-,MJQL01,25,3148,3076,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/385/GCF_001827385.1_ASM182738v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/385/GCA_001827385.1_ASM182738v1
"Listeria monocytogenes","BCW_4299",20017,SAMN03358027 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827415.1 ,2.96557,37.9,-,MJQN01,20,3052,2961,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/415/GCF_001827415.1_ASM182741v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/415/GCA_001827415.1_ASM182741v1
"Listeria monocytogenes","BCW_4300",20017,SAMN03358028 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827435.1 ,2.89074,37.9,-,MJQO01,14,2920,2831,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/435/GCF_001827435.1_ASM182743v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/435/GCA_001827435.1_ASM182743v1
"Listeria monocytogenes","BCW_4301",20017,SAMN03358029 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827455.1 ,3.12942,37.9,-,MJQP01,39,3240,3115,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/455/GCF_001827455.1_ASM182745v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/455/GCA_001827455.1_ASM182745v1
"Listeria monocytogenes","BCW_4302",20017,SAMN03358030 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827465.1 ,2.96783,37.9,-,MJQQ01,19,2996,2921,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/465/GCF_001827465.1_ASM182746v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/465/GCA_001827465.1_ASM182746v1
"Listeria monocytogenes","BCW_4304",20017,SAMN03358032 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827495.1 ,2.98172,37.8,-,MJQR01,23,3028,2942,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/495/GCF_001827495.1_ASM182749v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/495/GCA_001827495.1_ASM182749v1
"Listeria monocytogenes","BCW_4305",20017,SAMN03358033 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827505.1 ,2.904,37.9,-,MJQS01,31,2938,2865,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/505/GCF_001827505.1_ASM182750v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/505/GCA_001827505.1_ASM182750v1
"Listeria monocytogenes","BCW_4306",20017,SAMN03358034 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827535.1 ,3.0129,37.8,-,MJQT01,34,3075,2963,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/535/GCF_001827535.1_ASM182753v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/535/GCA_001827535.1_ASM182753v1
"Listeria monocytogenes","BCW_4307",20017,SAMN03358035 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827545.1 ,2.97902,37.8,-,MJQU01,17,3035,2946,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/545/GCF_001827545.1_ASM182754v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/545/GCA_001827545.1_ASM182754v1
"Listeria monocytogenes","BCW_4308",20017,SAMN03358036 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827575.1 ,3.14942,37.9,-,MJQV01,30,3168,3073,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/575/GCF_001827575.1_ASM182757v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/575/GCA_001827575.1_ASM182757v1
"Listeria monocytogenes","NRRL B-33997",20017,SAMN03277804 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827585.1 ,2.96437,37.9,-,MJQW01,29,3012,2947,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/585/GCF_001827585.1_ASM182758v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/585/GCA_001827585.1_ASM182758v1
"Listeria monocytogenes","NRRL B-57040",20017,SAMN03277806 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827615.1 ,2.99084,37.9,-,MJQX01,16,3077,2948,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/615/GCF_001827615.1_ASM182761v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/615/GCA_001827615.1_ASM182761v1
"Listeria monocytogenes","BCW_4758",20017,SAMN03358297 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827625.1 ,2.98863,37.8,-,MJRC01,16,3038,2941,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/625/GCF_001827625.1_ASM182762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/625/GCA_001827625.1_ASM182762v1
"Listeria monocytogenes","BCW_4760",20017,SAMN03358299 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827645.1 ,2.87942,37.9,-,MJRD01,11,2928,2842,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/645/GCF_001827645.1_ASM182764v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/645/GCA_001827645.1_ASM182764v1
"Listeria monocytogenes","BCW_4761",20017,SAMN03358300 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827665.1 ,2.95113,37.8,-,MJRE01,12,3012,2936,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/665/GCF_001827665.1_ASM182766v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/665/GCA_001827665.1_ASM182766v1
"Listeria monocytogenes","BCW_4762",20017,SAMN03358301 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827695.1 ,3.07829,37.8,-,MJRF01,18,3166,3073,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/695/GCF_001827695.1_ASM182769v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/695/GCA_001827695.1_ASM182769v1
"Listeria monocytogenes","BCW_4763",20017,SAMN03358302 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827715.1 ,3.00505,37.8,-,MJRG01,23,3062,2990,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/715/GCF_001827715.1_ASM182771v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/715/GCA_001827715.1_ASM182771v1
"Listeria monocytogenes","BCW_4764",20017,SAMN03358303 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827725.1 ,2.95305,37.9,-,MJRH01,12,3006,2939,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/725/GCF_001827725.1_ASM182772v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/725/GCA_001827725.1_ASM182772v1
"Listeria monocytogenes","BCW_4765",20017,SAMN03358304 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827745.1 ,2.88258,37.9,-,MJRI01,12,2930,2842,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/745/GCF_001827745.1_ASM182774v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/745/GCA_001827745.1_ASM182774v1
"Listeria monocytogenes","BCW_4766",20017,SAMN03358305 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827775.1 ,2.90648,38,-,MJRJ01,25,2925,2832,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/775/GCF_001827775.1_ASM182777v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/775/GCA_001827775.1_ASM182777v1
"Listeria monocytogenes","BCW_4767",20017,SAMN03358306 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827795.1 ,2.97258,37.9,-,MJRK01,16,3003,2917,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/795/GCF_001827795.1_ASM182779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/795/GCA_001827795.1_ASM182779v1
"Listeria monocytogenes","BCW_4769",20017,SAMN03358308 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827805.1 ,2.93754,37.9,-,MJRM01,21,2949,2859,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/805/GCF_001827805.1_ASM182780v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/805/GCA_001827805.1_ASM182780v1
"Listeria monocytogenes","BCW_4768",20017,SAMN03358307 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827815.1 ,2.98604,37.9,-,MJRL01,19,3048,2971,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/815/GCF_001827815.1_ASM182781v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/815/GCA_001827815.1_ASM182781v1
"Listeria monocytogenes","BCW_4770",20017,SAMN03358309 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827855.1 ,2.93271,37.9,-,MJRN01,21,2930,2858,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/855/GCF_001827855.1_ASM182785v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/855/GCA_001827855.1_ASM182785v1
"Listeria monocytogenes","BCW_4771",20017,SAMN03358310 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827875.1 ,2.93113,37.9,-,MJRO01,25,2928,2852,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/875/GCF_001827875.1_ASM182787v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/875/GCA_001827875.1_ASM182787v1
"Listeria monocytogenes","BCW_4772",20017,SAMN03358311 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827885.1 ,2.97844,37.9,-,MJRP01,18,3031,2944,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/885/GCF_001827885.1_ASM182788v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/885/GCA_001827885.1_ASM182788v1
"Listeria monocytogenes","BCW_4773",20017,SAMN03358312 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827905.1 ,2.89022,37.9,-,MJRQ01,18,2908,2832,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/905/GCF_001827905.1_ASM182790v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/905/GCA_001827905.1_ASM182790v1
"Listeria monocytogenes","BCW_4774",20017,SAMN03358313 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827935.1 ,2.93987,37.9,-,MJRR01,32,2988,2914,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/935/GCF_001827935.1_ASM182793v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/935/GCA_001827935.1_ASM182793v1
"Listeria monocytogenes","BCW_4775",20017,SAMN03358314 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827955.1 ,2.93651,38,-,MJRS01,17,2948,2860,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/955/GCF_001827955.1_ASM182795v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/955/GCA_001827955.1_ASM182795v1
"Listeria monocytogenes","BCW_4776",20017,SAMN03358315 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827975.1 ,2.87986,37.9,-,MJRT01,9,2931,2840,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/975/GCF_001827975.1_ASM182797v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/975/GCA_001827975.1_ASM182797v1
"Listeria monocytogenes","BCW_4777",20017,SAMN03358316 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001827995.1 ,3.00512,37.8,-,MJRU01,19,3087,2989,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/827/995/GCF_001827995.1_ASM182799v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/827/995/GCA_001827995.1_ASM182799v1
"Listeria monocytogenes","BCW_4778",20017,SAMN03358317 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828005.1 ,2.95195,37.9,-,MJRV01,14,2998,2937,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/005/GCF_001828005.1_ASM182800v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/005/GCA_001828005.1_ASM182800v1
"Listeria monocytogenes","BCW_4780",20017,SAMN03358319 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828035.1 ,2.9349,38,-,MJRW01,15,2982,2891,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/035/GCF_001828035.1_ASM182803v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/035/GCA_001828035.1_ASM182803v1
"Listeria monocytogenes","BCW_4781",20017,SAMN03358320 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828055.1 ,3.02696,37.8,-,MJRX01,19,3101,3000,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/055/GCF_001828055.1_ASM182805v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/055/GCA_001828055.1_ASM182805v1
"Listeria monocytogenes","BCW_4782",20017,SAMN03358321 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828065.1 ,2.94114,37.9,-,MJRY01,16,2986,2912,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/065/GCF_001828065.1_ASM182806v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/065/GCA_001828065.1_ASM182806v1
"Listeria monocytogenes","BCW_4783",20017,SAMN03358322 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828095.1 ,2.9389,37.9,-,MJRZ01,19,2989,2913,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/095/GCF_001828095.1_ASM182809v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/095/GCA_001828095.1_ASM182809v1
"Listeria monocytogenes","BCW_4784",20017,SAMN03358323 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828115.1 ,2.9544,37.8,-,MJSA01,14,3011,2914,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/115/GCF_001828115.1_ASM182811v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/115/GCA_001828115.1_ASM182811v1
"Listeria monocytogenes","BCW_4785",20017,SAMN03358324 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828135.1 ,2.98598,37.9,-,MJSB01,20,3020,2938,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/135/GCF_001828135.1_ASM182813v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/135/GCA_001828135.1_ASM182813v1
"Listeria monocytogenes","BCW_4786",20017,SAMN03358325 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828155.1 ,2.96012,37.8,-,MJSC01,16,3001,2905,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/155/GCF_001828155.1_ASM182815v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/155/GCA_001828155.1_ASM182815v1
"Listeria monocytogenes","BCW_4787",20017,SAMN03358326 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828165.1 ,2.98036,37.9,-,MJSD01,22,3036,2937,2016/09/29,2017/03/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/165/GCF_001828165.1_ASM182816v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/165/GCA_001828165.1_ASM182816v1
"Listeria monocytogenes","BCW_4788",20017,SAMN03358327 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_001828195.1 ,2.9294,37.9,-,MJSE01,19,2939,2854,2016/09/29,2017/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/828/195/GCF_001828195.1_ASM182819v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/828/195/GCA_001828195.1_ASM182819v1
